epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1221.8,2.03994,1.90069,2.4845,0.90171,0.4,0.43629,0.15557,2.31041,3.25318,3.25652,0.0007724,0.0007724,0.0007724
64,1245.1,2.05503,2.12198,2.4971,0.90171,0.4,0.43629,0.15557,2.31041,3.25318,3.25652,0.0007526,0.0007526,0.0007526
65,1268.25,1.94342,1.98711,2.41866,0.45091,0.6,0.41758,0.16154,1.91972,2.41656,2.69542,0.0007328,0.0007328,0.0007328
66,1288.41,1.92392,1.92476,2.43923,0.45091,0.6,0.41758,0.16154,1.91972,2.41656,2.69542,0.000713,0.000713,0.000713
67,1308.93,2.02517,1.92743,2.40524,0.45091,0.6,0.41758,0.16154,1.91972,2.41656,2.69542,0.0006932,0.0006932,0.0006932
68,1328.13,1.88512,1.95141,2.42484,0.32828,0.58787,0.28967,0.14909,1.87257,2.76348,2.83129,0.0006734,0.0006734,0.0006734
69,1347.81,1.83591,1.90972,2.33169,0.32828,0.58787,0.28967,0.14909,1.87257,2.76348,2.83129,0.0006536,0.0006536,0.0006536
70,1367.69,1.92888,1.78406,2.39876,0.32828,0.58787,0.28967,0.14909,1.87257,2.76348,2.83129,0.0006338,0.0006338,0.0006338
71,1387.32,1.99133,1.90077,2.31597,0.40448,0.6,0.52833,0.2689,1.77934,3.4701,2.72674,0.000614,0.000614,0.000614
72,1408.54,1.69947,1.85128,2.32658,0.40448,0.6,0.52833,0.2689,1.77934,3.4701,2.72674,0.0005942,0.0005942,0.0005942
73,1429.95,1.84137,1.83828,2.32787,0.42555,0.6,0.48861,0.23606,2.08732,2.64287,2.69436,0.0005744,0.0005744,0.0005744
74,1449.22,1.95606,1.84843,2.36944,0.42555,0.6,0.48861,0.23606,2.08732,2.64287,2.69436,0.0005546,0.0005546,0.0005546
75,1468.5,1.85177,1.80264,2.29694,0.42555,0.6,0.48861,0.23606,2.08732,2.64287,2.69436,0.0005348,0.0005348,0.0005348
76,1489.24,1.81117,1.81985,2.2883,0.59245,0.5849,0.39826,0.16511,2.07403,2.41373,2.5725,0.000515,0.000515,0.000515
77,1508.77,1.84827,1.64451,2.2937,0.59245,0.5849,0.39826,0.16511,2.07403,2.41373,2.5725,0.0004952,0.0004952,0.0004952
78,1528.35,1.7601,1.68705,2.18406,0.59245,0.5849,0.39826,0.16511,2.07403,2.41373,2.5725,0.0004754,0.0004754,0.0004754
79,1547.76,1.64461,1.68713,2.04619,0.67378,0.6,0.52655,0.21947,1.79699,1.98953,2.37807,0.0004556,0.0004556,0.0004556
80,1568.99,1.74565,1.73595,2.15632,0.67378,0.6,0.52655,0.21947,1.79699,1.98953,2.37807,0.0004358,0.0004358,0.0004358
81,1590.35,1.86349,1.75344,2.32338,0.36247,0.6,0.37159,0.1325,1.85995,1.97336,2.49213,0.000416,0.000416,0.000416
82,1609.4,1.86238,1.73346,2.2947,0.36247,0.6,0.37159,0.1325,1.85995,1.97336,2.49213,0.0003962,0.0003962,0.0003962
